,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Mananjary,MG,-21.2167,48.3333,81.07,81,99,3.69,overcast clouds
128,Bathsheba,BB,13.2167,-59.5167,75.81,88,75,16.11,broken clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,65.08,79,40,5.01,scattered clouds
130,Nikolskoye,RU,59.7035,30.7861,35.87,97,100,7.05,light snow
131,Tasiilaq,GL,65.6145,-37.6368,19.56,49,100,58.59,light snow
132,Ushuaia,AR,-54.8,-68.3,62.26,63,40,12.66,scattered clouds
133,Khatanga,RU,71.9667,102.5,-19.43,98,100,9.31,overcast clouds
134,Butaritari,KI,3.0707,172.7902,82.15,75,65,16.31,light rain
135,Lahijan,IR,37.2061,50.0029,47.89,71,80,6.44,broken clouds
136,East London,ZA,-33.0153,27.9116,72.54,88,0,4.61,clear sky
137,New Norfolk,AU,-42.7826,147.0587,79.66,31,0,3.0,clear sky
138,Buraydah,SA,26.326,43.975,45.05,39,0,3.38,clear sky
139,Hithadhoo,MV,-0.6,73.0833,82.83,67,10,14.41,clear sky
140,Caramay,PH,10.1815,119.236,82.24,68,94,9.53,overcast clouds
141,New Norfolk,AU,-42.7826,147.0587,79.66,31,0,3.0,clear sky
142,Atuona,PF,-9.8,-139.0333,79.02,75,40,17.16,scattered clouds
143,Albany,US,42.6001,-73.9662,21.78,80,28,2.35,scattered clouds
144,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
145,Hobart,AU,-42.8794,147.3294,80.02,45,20,9.22,few clouds
146,Qaanaaq,GL,77.484,-69.3632,-10.77,60,31,7.7,scattered clouds
147,Poum,NC,-20.2333,164.0167,81.03,88,100,30.98,moderate rain
148,Poum,NC,-20.2333,164.0167,81.03,88,100,30.98,moderate rain
149,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
150,Ushuaia,AR,-54.8,-68.3,62.26,63,40,12.66,scattered clouds
151,Oksfjord,NO,70.2396,22.3479,23.92,72,73,9.93,broken clouds
152,Ushuaia,AR,-54.8,-68.3,62.26,63,40,12.66,scattered clouds
153,Lompoc,US,34.6391,-120.4579,58.12,87,0,0.0,clear sky
154,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
155,Imbituba,BR,-28.24,-48.6703,75.09,84,51,5.66,broken clouds
156,Berbera,SO,10.4396,45.0143,79.36,71,74,2.75,light rain
157,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
158,Goderich,CA,43.7501,-81.7165,28.9,64,98,12.66,overcast clouds
159,Hami,CN,42.8,93.45,31.98,26,66,6.35,broken clouds
160,Albany,US,42.6001,-73.9662,21.78,80,28,2.35,scattered clouds
161,Lata,PT,40.1629,-8.3327,44.04,53,60,4.47,broken clouds
162,Souillac,MU,-20.5167,57.5167,83.35,83,75,11.5,broken clouds
163,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
164,Port Alfred,ZA,-33.5906,26.891,78.91,64,47,1.54,scattered clouds
165,Tiksi,RU,71.6872,128.8694,-18.27,98,100,6.82,overcast clouds
166,Albany,US,42.6001,-73.9662,21.78,80,28,2.35,scattered clouds
167,Busselton,AU,-33.65,115.3333,71.1,45,41,20.62,scattered clouds
168,Georgetown,MY,5.4112,100.3354,87.75,73,20,5.99,moderate rain
169,Bastrop,US,32.7562,-91.8724,37.08,63,0,2.66,clear sky
170,Upernavik,GL,72.7868,-56.1549,-13.94,100,100,7.2,overcast clouds
171,Lahijan,IR,37.2061,50.0029,47.89,71,80,6.44,broken clouds
172,Nuuk,GL,64.1835,-51.7216,9.21,85,100,6.91,light snow
173,Lebu,CL,-37.6167,-73.65,57.85,93,6,12.64,clear sky
