,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
36,Zhigansk,RU,66.7697,123.3711,-28.07,98,92,2.55,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,59.49,45,5,5.14,clear sky
38,Manvi,IN,15.9833,77.05,80.46,50,79,7.56,broken clouds
39,Ushuaia,AR,-54.8,-68.3,60.46,72,40,11.5,scattered clouds
40,Ponta Do Sol,PT,32.6667,-17.1,63.23,68,10,9.8,clear sky
41,Kapaa,US,22.0752,-159.319,78.78,78,40,1.99,scattered clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,21,7.36,few clouds
43,Malanje,AO,-9.5402,16.341,58.59,90,88,2.77,overcast clouds
44,Ribeira Grande,PT,38.5167,-28.7,60.85,83,10,17.63,clear sky
45,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,21,7.36,few clouds
46,Touros,BR,-5.1989,-35.4608,76.1,78,13,8.3,few clouds
47,Bluff,NZ,-46.6,168.3333,59.81,68,0,14.41,clear sky
48,Maicao,CO,11.3832,-72.2432,74.79,85,6,6.58,clear sky
49,Hithadhoo,MV,-0.6,73.0833,82.62,67,23,14.25,few clouds
50,Ancud,CL,-41.8697,-73.8203,53.13,90,4,2.21,clear sky
51,Herat,AF,34.5,62.0,43.14,45,0,5.88,clear sky
52,Port Hedland,AU,-20.3167,118.5667,82.45,83,100,12.66,moderate rain
53,Torbay,CA,47.6666,-52.7314,12.58,81,75,14.97,broken clouds
54,Chuy,UY,-33.6971,-53.4616,62.78,80,48,14.2,scattered clouds
55,Pevek,RU,69.7008,170.3133,-24.29,99,22,1.68,few clouds
56,Natal,BR,-5.795,-35.2094,79.02,83,0,4.61,clear sky
57,Hithadhoo,MV,-0.6,73.0833,82.62,67,23,14.25,few clouds
58,Ushuaia,AR,-54.8,-68.3,60.46,72,40,11.5,scattered clouds
59,Olinda,BR,-8.0089,-34.8553,82.13,69,40,4.61,scattered clouds
60,Henties Bay,NA,-22.116,14.2845,67.86,82,95,7.94,overcast clouds
61,Kearney,US,40.6995,-99.0815,34.36,56,100,3.0,overcast clouds
62,Aripuana,BR,-9.1667,-60.6333,71.96,100,100,2.66,light rain
63,Pyaozerskiy,RU,65.8333,31.1667,19.18,95,100,8.05,light snow
64,Rikitea,PF,-23.1203,-134.9692,78.98,72,10,17.98,clear sky
65,Hambantota,LK,6.1241,81.1185,82.74,74,40,5.75,scattered clouds
66,Barra Do Garcas,BR,-15.89,-52.2567,72.43,98,100,3.78,heavy intensity rain
67,Mataura,NZ,-46.1927,168.8643,59.49,45,5,5.14,clear sky
68,Padang,ID,-0.9492,100.3543,86.05,65,100,2.98,light rain
69,Georgetown,MY,5.4112,100.3354,88.9,74,20,3.0,few clouds
70,Tasiilaq,GL,65.6145,-37.6368,16.7,57,100,63.1,light snow
71,Daia,RO,44.0,25.9833,39.09,74,62,5.93,broken clouds
72,Bairiki,KI,1.3292,172.9752,86.0,70,40,9.22,scattered clouds
73,Libertad,PH,8.9442,125.5019,88.29,55,71,3.62,broken clouds
74,Jacmel,HT,18.2342,-72.5347,73.24,75,13,1.88,few clouds
75,Cairns,AU,-16.9167,145.7667,89.06,64,100,12.66,overcast clouds
76,San Luis,AR,-33.295,-66.3356,60.94,32,0,7.99,clear sky
77,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,8.05,broken clouds
78,Severo-Kurilsk,RU,50.6789,156.125,31.01,81,100,9.55,overcast clouds
79,Cayenne,GF,4.9333,-52.3333,80.1,87,75,4.0,broken clouds
